WAGYRO;10
Time;Ax;Ay;Az;Gx;Gy;Gz;Hx;Hy;Hz;Temp;AnBat;Angle
74;807;807;765;765;765;384;-298;-164;373;230;855;277;
75;806;807;765;765;765;385;-292;-168;371;230;856;278;
76;806;807;765;765;764;384;-290;-165;370;230;855;278;
77;807;807;767;765;765;384;-293;-169;374;230;855;282;
78;807;808;766;765;765;384;-294;-170;369;230;855;282;
79;807;808;766;765;765;384;-290;-172;372;230;855;282;
80;806;808;766;765;765;384;-295;-169;375;230;855;282;
81;806;809;764;764;765;384;-296;-171;375;230;855;282;
82;806;809;764;764;765;384;-291;-169;375;230;855;281;
83;806;808;764;764;765;384;-293;-165;373;230;855;281;
84;805;808;763;765;765;385;-290;-170;382;230;855;207;
85;805;807;764;765;764;384;-285;-171;374;230;854;207;
86;805;806;764;765;765;384;-290;-170;380;230;855;197;
87;805;807;764;765;765;384;-287;-170;375;230;855;277;
88;805;808;765;765;765;384;-293;-166;378;230;855;278;
89;805;807;765;765;764;384;-289;-167;376;230;855;277;
90;806;808;766;765;765;384;-288;-170;380;230;855;282;
91;806;808;765;765;764;384;-289;-169;378;230;855;281;
92;806;809;765;765;765;384;-284;-175;374;230;855;281;
93;806;808;764;764;764;384;-287;-169;371;230;855;281;
94;806;807;765;765;765;384;-287;-167;377;230;855;281;
95;806;807;765;765;764;384;-285;-175;378;230;855;281;
96;806;807;765;765;764;384;-290;-169;372;230;855;280;
97;805;807;765;765;765;384;-288;-178;379;230;855;206;
98;805;808;765;765;764;384;-286;-171;371;230;855;206;
99;805;807;765;765;765;384;-286;-170;380;230;855;196;
0;806;807;765;765;765;384;-286;-175;375;230;854;277;
1;806;807;765;765;764;384;-286;-168;376;230;854;277;
2;805;809;763;765;765;384;-279;-166;377;230;854;279;
3;806;808;765;765;764;384;-286;-174;380;230;855;281;
4;805;807;764;765;764;385;-295;-171;372;230;853;280;
5;806;807;765;765;765;384;-288;-168;377;230;855;281;
6;805;809;765;765;765;384;-291;-171;374;230;854;281;
7;805;809;766;765;764;384;-294;-166;372;230;854;281;
8;805;809;765;765;765;385;-288;-163;375;230;853;280;
9;805;808;765;765;764;385;-285;-172;375;230;855;279;
10;806;808;764;765;764;385;-281;-171;377;230;855;206;
11;807;808;766;765;764;385;-286;-165;375;230;855;205;
12;806;807;766;765;764;385;-287;-170;373;230;854;195;
13;806;806;766;765;765;385;-298;-169;375;230;854;276;
14;806;808;765;765;765;384;-287;-164;370;230;855;276;
15;804;809;764;764;765;384;-290;-165;375;231;854;280;
16;804;808;764;764;765;384;-290;-165;378;231;854;280;
17;804;808;764;765;764;384;-286;-161;376;231;854;280;
18;806;809;765;764;764;385;-293;-169;371;230;855;280;
19;807;808;766;765;764;385;-291;-161;375;230;853;280;
20;808;808;765;765;764;384;-286;-167;371;230;854;280;
21;808;807;766;765;764;384;-286;-160;370;230;854;280;
22;808;806;767;764;764;385;-287;-159;368;230;854;205;
23;808;806;766;765;765;384;-290;-162;370;230;853;205;
24;806;805;766;764;765;384;-289;-165;374;230;854;199;
25;806;805;766;764;765;384;-291;-158;368;230;854;196;
26;806;806;766;764;765;384;-286;-160;379;230;854;276;
27;806;805;764;764;765;384;-290;-156;374;230;854;276;
28;806;805;763;765;765;384;-292;-160;375;231;854;280;
29;805;805;762;765;765;384;-291;-161;376;231;854;280;
30;805;804;762;765;764;384;-293;-161;374;231;854;280;
31;806;806;764;765;765;383;-287;-160;379;230;854;280;
32;805;808;763;765;765;383;-294;-159;377;231;854;280;
33;804;808;764;765;765;384;-294;-162;375;230;854;280;
34;803;808;764;765;764;384;-288;-163;379;230;854;280;
35;805;809;766;765;764;384;-287;-166;376;230;854;205;
36;805;809;766;765;764;384;-285;-166;375;230;853;205;
37;805;809;766;765;764;384;-289;-168;371;230;854;199;
38;805;809;766;765;764;384;-288;-161;377;230;853;195;
39;805;808;765;764;764;385;-287;-168;377;231;854;276;
40;806;807;765;765;764;384;-289;-162;376;230;853;276;
41;806;807;765;765;764;384;-298;-165;373;231;854;280;
42;806;808;765;765;765;384;-291;-162;375;231;853;280;
43;806;808;766;765;765;384;-291;-166;376;230;854;280;
44;805;808;765;765;765;384;-289;-168;374;231;854;280;
45;806;807;765;764;764;384;-287;-160;386;230;854;280;
46;806;806;763;764;764;384;-289;-165;378;230;852;280;
47;806;807;764;765;765;384;-291;-163;377;230;853;280;
48;805;806;764;764;764;384;-290;-166;377;230;853;205;
49;806;805;765;765;765;384;-289;-159;375;231;853;206;
50;806;807;764;765;765;384;-293;-162;376;230;854;200;
51;804;809;764;765;765;385;-290;-158;375;230;853;195;
52;804;808;764;765;765;385;-288;-161;377;231;854;276;
53;805;807;764;765;765;385;-286;-158;377;231;853;276;
54;804;808;764;765;765;385;-292;-165;379;231;854;280;
55;805;810;765;765;765;385;-288;-161;374;231;853;280;
56;805;810;765;765;765;386;-288;-160;374;231;854;280;
57;806;808;765;765;765;387;-288;-155;373;231;853;280;
58;807;805;765;765;764;386;-299;-152;373;230;854;280;
59;808;805;766;765;765;386;-290;-157;373;230;853;280;
60;808;807;767;765;765;385;-288;-160;382;230;854;280;
61;807;809;765;764;765;384;-289;-156;371;231;854;206;
62;807;805;766;764;764;385;-294;-155;377;231;854;206;
63;807;804;766;765;765;385;-288;-151;378;231;854;196;
64;805;805;764;765;765;384;-295;-156;377;230;854;196;
65;804;806;764;765;765;383;-286;-154;381;231;854;277;
66;805;808;765;764;764;383;-286;-153;375;231;853;277;
67;806;808;767;765;765;384;-280;-164;374;231;854;281;
68;805;807;765;765;765;384;-279;-153;381;231;853;281;
69;805;807;764;765;765;383;-285;-157;375;231;854;281;
70;805;807;764;764;765;383;-286;-163;371;231;853;281;
71;804;809;763;764;765;383;-288;-157;375;231;854;281;
72;804;808;764;765;764;384;-286;-155;385;231;853;281;
73;805;807;765;764;764;384;-287;-159;378;231;854;281;
74;805;806;764;765;765;384;-281;-155;378;231;853;207;
75;806;806;765;765;765;384;-286;-154;382;231;854;207;
76;805;807;765;765;764;384;-286;-157;374;231;854;197;
77;805;807;764;765;764;384;-279;-161;381;231;854;197;
78;806;806;765;765;764;384;-278;-159;378;231;854;277;
79;805;807;764;765;765;383;-285;-163;378;231;853;278;
80;805;810;765;765;764;383;-284;-165;374;231;854;281;
81;804;810;765;765;764;384;-279;-164;376;231;854;281;
82;805;809;766;765;765;385;-284;-166;373;231;854;282;
83;805;807;765;765;765;385;-289;-160;376;231;853;282;
84;806;807;765;765;764;385;-280;-166;382;231;854;281;
85;805;808;764;765;764;384;-282;-163;373;231;853;281;
86;806;809;765;765;764;384;-280;-159;375;231;854;281;
87;805;808;765;765;765;385;-283;-167;378;231;853;207;
88;804;808;765;765;764;385;-281;-160;374;231;854;207;
89;805;806;766;765;764;385;-288;-162;378;231;853;197;
90;805;806;766;765;764;384;-286;-161;374;230;854;272;
91;805;807;766;765;765;384;-288;-165;377;231;853;278;
92;805;809;766;765;764;384;-288;-164;376;231;854;278;
93;807;809;767;765;764;384;-290;-160;377;231;854;282;
94;806;808;765;764;765;385;-283;-160;378;231;854;282;
95;806;807;764;765;765;384;-288;-160;375;231;854;282;
